recipe_id,quantity,ingredient,failed
120068,2 1⁄4,cups    all-purpose flour,NA
120068,1,teaspoon    baking soda,NA
120068,1,teaspoon    salt,NA
120068,2,cups    milk chocolate chips,NA
248199,1⁄2,"cup    unsalted butter, softened",NA
248199,1,"cup    light brown sugar, packed",NA
248199,3,tablespoons    granulated sugar,NA
248199,1,egg,NA
248199,2,"teaspoons    vanilla (I use Watkins double strength, it doesn't evaporate during baking like others tend to)",NA
248199,1 1⁄2,"teaspoons    instant coffee (I use ""Kava"", it has 90% of the acidity neutralised)",NA
248199,1 3⁄4,cups    all-purpose flour,NA
248199,1⁄2,teaspoon    baking soda,NA
248199,1⁄2,teaspoon    baking powder,NA
248199,1⁄2,teaspoon    salt (optional),NA
248199,1,(12   ounce) bag   Nestle semi-sweet chocolate chips,NA
144823,2 1⁄2,cups    all-purpose flour,NA
144823,1⁄2,teaspoon    salt,NA
144823,1⁄2,teaspoon    baking soda,NA
144823,1,cup   softened butter,NA
144823,1,cup    peanut butter,NA
144823,1,cup    white sugar,NA
144823,1,cup   packed brown sugar,NA
144823,2,eggs,NA
144823,1,(12   ounce) bag   chocolate chips,NA
406715,1,cup    vegetable shortening,NA
406715,1⁄2,cup    brown sugar,NA
406715,1⁄2,cup    sugar,NA
406715,1⁄4,cup   vanilla soymilk,NA
406715,1,teaspoon    vanilla,NA
406715,2 1⁄4,cups    unbleached flour,NA
406715,1⁄2,teaspoon    salt,NA
406715,1,teaspoon    baking soda,NA
406715,12,"ounces    semi-sweet chocolate chips (vegan, no milk products)",NA
390636,1,3/4  cup    butter or 3/4  cup    margarine,NA
390636,1,"cup    brown sugar, packed",NA
390636,1⁄2,cup    white sugar,NA
390636,1,teaspoon    vanilla,NA
390636,2,eggs,NA
390636,2,"cups    flour, plus 1/4 cup extra if needed",NA
390636,1,teaspoon    baking soda,NA
390636,1,teaspoon    salt,NA
390636,1,cup   chopped nuts,NA
390636,2,cups    semi-sweet chocolate chips,NA
215867,1⁄2,"lb    unsalted butter, room temperature",NA
215867,2⁄3,cup   packed light brown sugar,NA
215867,1⁄2,cup    granulated sugar,NA
215867,1⁄4,cup    golden syrup (preferably Lyle's),NA
215867,1,large    egg,NA
215867,1,tablespoon    vanilla extract,NA
215867,1⁄4,cup    instant malted milk powder (preferably Carnation),NA
215867,1⁄2,teaspoon    instant espresso powder,NA
215867,2 1⁄4,cups    all-purpose flour (preferably King Arthur unbleached),NA
215867,1 1⁄8,teaspoons    salt,NA
215867,1⁄2,teaspoon    baking powder,NA
215867,1⁄4,teaspoon    baking soda,NA
215867,1,lb    bittersweet chocolate chips (preferably Ghirardelli 60% Bittersweet Baking Chips),NA
286849,3⁄4,cup    all-purpose flour,NA
286849,2,teaspoons    all-purpose flour,NA
286849,1⁄4,teaspoon    baking soda,NA
286849,1,pinch    salt,NA
286849,4,"tablespoons    unsalted butter, softened",NA
286849,1,"teaspoon    unsalted butter, softened",NA
286849,1⁄4,cup    granulated sugar,NA
286849,1⁄4,"cup    light brown sugar, packed",NA
286849,1,large    egg yolk,NA
286849,1,teaspoon    vanilla extract,NA
286849,1⁄4 - 1⁄2,teaspoon    water,NA
286849,1⁄2,cup    semi-sweet chocolate chips,NA
286849,3,tablespoons    semi-sweet chocolate chips,NA
94779,1,"cup    butter, softened",NA
94779,1,cup    granulated sugar,NA
94779,3⁄4,cup   packed light brown sugar,NA
94779,2,teaspoons    vanilla extract,NA
94779,1⁄2,teaspoon    salt,NA
94779,2,large    eggs,NA
94779,2 1⁄2,"cups    all-purpose flour (I add 1/4 cup more, otherwise the cookies turn out too flat)",NA
94779,1,teaspoon    baking soda,NA
94779,12,ounces    milk chocolate chips,NA
475547,1,"cup   unsalted almond butter, stirred well",NA
475547,3⁄4,cup    sucanat,NA
475547,1,large    egg,NA
475547,1⁄2,teaspoon    baking soda,NA
475547,1⁄4,teaspoon    sea salt,NA
475547,3,"ounces    dark chocolate, broken into small pieces  (70% cocoa or greater)",NA
383246,1,cup    butter,NA
383246,1⁄2,cup    white sugar,NA
383246,1 1⁄2,cups    brown sugar,NA
383246,2,eggs,NA
383246,1 1⁄4,vanilla,NA
383246,1 1⁄4,almond extract,NA
383246,2 1⁄2,cups    flour,NA
383246,3⁄4,teaspoon    salt,NA
383246,1,teaspoon    baking powder,NA
383246,1,teaspoon    baking soda,NA
383246,200,g    ground almonds,NA
383246,3,cups    chocolate chips,NA
478898,1,cup    whole wheat flour,NA
478898,1⁄2,cup    soft brown sugar,NA
478898,1⁄4,teaspoon    salt,NA
478898,1⁄3,cup    oil (I use canola oil),NA
478898,1,egg,NA
478898,1⁄2,cup    chocolate chips,NA
478898,1⁄4,"cup    whole almond, roasted and crushed",NA
133262,1⁄2,cup    slivered almonds,NA
133262,1 1⁄4,cups    flour,NA
133262,1⁄2,teaspoon    baking soda,NA
133262,1⁄2,teaspoon    salt,NA
133262,1⁄2,"cup    butter, softened",NA
133262,1⁄3,cup    sugar,NA
133262,1⁄3,"cup    brown sugar, firmly packed",NA
133262,1,egg,NA
133262,2,tablespoons    almond flavored liqueur,NA
133262,1,cup    chocolate chips (6 ounces) or 1   cup    mini chocolate chip (6 ounces),NA
497669,1,cup   creamy unsalted peanut butter,NA
497669,1⁄2,"cup    light brown sugar, packed",NA
497669,2,"large    eggs, lightly beaten",NA
497669,1,teaspoon    vanilla extract,NA
497669,2,tablespoons    brown rice flour,NA
497669,2,tablespoons    unsweetened cocoa powder,NA
497669,1⁄4,teaspoon    baking soda,NA
497669,3⁄4,cup    semi-sweet chocolate chips,NA
353862,3⁄4,cup    coconut flour,NA
353862,3⁄4,cup    oat flour (old-fashioned oatmeal sent through a food processor),NA
353862,1⁄2,cup    powdered milk,NA
353862,1⁄2,tablespoon    food-grade diatomaceous earth,NA
353862,1⁄4,cup    unsweetened cocoa powder,NA
353862,1⁄3,teaspoon    stevia powder,NA
353862,1⁄4,cup   softened butter,NA
353862,1⁄4,teaspoon    sea salt,NA
353862,3,eggs,NA
353862,1⁄2,cup    yogurt,NA
353862,2,tablespoons    honey,NA
353862,1,teaspoon    vanilla,NA
353862,2,tablespoons    chia seeds (or 1/2 cup chia gel),NA
353862,2,cups    chocolate chips,NA
353862,1,cup   chopped raw walnuts,NA
242638,1,"cup    butter, softened",NA
242638,2,cups    brown rice flour,NA
242638,1⁄4,cup    cornstarch,NA
242638,2,tablespoons    tapioca flour,NA
242638,1,teaspoon    xanthan gum,NA
242638,3⁄4,teaspoon    kosher salt,NA
242638,1,teaspoon    baking soda,NA
242638,1⁄4,cup    sugar,NA
242638,1 1⁄4,cups    brown sugar,NA
242638,1,egg,NA
242638,1,egg yolk,NA
242638,2,tablespoons    milk,NA
242638,1 1⁄2,teaspoons    vanilla,NA
242638,12,ounces    semi-sweet chocolate chips,NA
352034,1⁄4,cup    shortening,NA
352034,3⁄4,"cup    butter, softened",NA
352034,1⁄2,cup    white sugar,NA
352034,3⁄4,cup   packed brown sugar,NA
352034,1,teaspoon    vanilla,NA
352034,1,teaspoon    baking soda,NA
352034,2,large    eggs,NA
352034,2 3⁄4,cups    all-purpose flour,NA
352034,1,teaspoon    salt,NA
352034,2,cups    chocolate chips (I use Ghirardelli brand),NA
277840,2 1⁄4,cups    flour,NA
277840,1,teaspoon    baking soda,NA
277840,1,cup    butter,NA
277840,1⁄4,cup    sugar,NA
277840,3⁄4,cup    brown sugar,NA
277840,1,teaspoon    vanilla,NA
277840,1,(3   ounce) box   instant vanilla pudding,NA
277840,2,eggs,NA
277840,12,ounces    chocolate chips,NA
277840,1,cup   chopped nuts (optional),NA
116118,1,cup    white sugar,NA
116118,1 1⁄2,cups    brown sugar (slightly packed),NA
116118,1 1⁄2,cups    butter (room temperature),NA
116118,2,teaspoons    vanilla,NA
116118,3,large    eggs,NA
116118,4,cups    flour,NA
116118,2,teaspoons    baking soda,NA
116118,2,cups    chocolate chips (or however much you like! I usually eyeball a couple cups),NA
136758,3⁄4,"cup   softened butter, no substitutes",NA
136758,3⁄4,cup    shortening (I use butter flavored),NA
136758,1⁄2,cup    sugar,NA
136758,2,cups   packed light brown sugar,NA
136758,2,large    eggs,NA
136758,2,tablespoons    vanilla,NA
136758,4,cups    flour,NA
136758,2,teaspoons    baking soda,NA
136758,1,teaspoon    salt,NA
136758,6,"ounces    white baking chocolate, divided",NA
136758,3,cups    semisweet chocolate chunks,NA
31739,1⁄2,cup    rolled oats,NA
31739,2 1⁄4,cups    all-purpose flour,NA
31739,1 1⁄2,teaspoons    baking soda,NA
31739,1,teaspoon    salt,NA
31739,1⁄4,teaspoon    cinnamon,NA
31739,1,"cup    butter, softened",NA
31739,3⁄4,cup    brown sugar,NA
31739,3⁄4,cup    granulated sugar,NA
31739,1 1⁄2,teaspoons    vanilla,NA
31739,1⁄2,teaspoon    lemon juice,NA
31739,2,large    eggs,NA
31739,1,(12   ounce) package  nestle semisweet chocolate chunks,NA
490605,2,"cups    butter, softened",NA
490605,2,cups    granulated sugar,NA
490605,1,(16   ounce) can   solid pack pumpkin,NA
490605,2,eggs,NA
490605,4,cups    all-purpose flour,NA
490605,2,teaspoons    pumpkin pie spice,NA
490605,1,teaspoon    baking powder,NA
490605,1,teaspoon    baking soda,NA
490605,1,(12   ounce) bag   white chocolate chips,NA
490605,1,(16   ounce) container   cream cheese frosting,NA
490605,1⁄4,"cup    light brown sugar, packed",NA
252316,125,g    butter,NA
252316,1,cup    brown sugar,NA
252316,1⁄4,cup    caster sugar (or white sugar),NA
252316,1,cup    self-raising flour,NA
252316,3⁄4,cup    plain flour,NA
252316,1,egg,NA
252316,1,teaspoon    vanilla extract,NA
252316,1,teaspoon    baking powder,NA
252316,1,cup    milk chocolate chips,NA
219773,2 1⁄4,cups    whole wheat flour,NA
219773,1,teaspoon    baking soda,NA
219773,1⁄2,teaspoon    salt,NA
219773,1,cup    margarine (melted),NA
219773,1 1⁄2,cups    brown sugar,NA
219773,2,tablespoons    vanilla extract,NA
219773,2 1⁄2,cups    semisweet vegan chocolate chips,NA
288143,1,"cup    unsalted butter, Softened  (but not melted)",NA
288143,1,cup    creamy peanut butter (for more texture you could use crunchy. I used all natural organic creamy peanut butter),NA
288143,1,cup    granulated sugar,NA
288143,1,cup    brown sugar,NA
288143,2,large    eggs,NA
288143,1⁄2,tablespoon    vanilla extract,NA
288143,2,cups    whole wheat flour (you could also use all purpose flour),NA
288143,1,teaspoon    baking soda,NA
288143,1,cup    semi-sweet chocolate chips,NA
288143,1,cup    peanut butter chips,NA
288143,1⁄2,"cup    nuts, Chopped  (optional)",NA
4044,1,cup    butter or 1   cup    margarine,NA
4044,1,"cup    brown sugar, firmly packed",NA
4044,1⁄2,cup    granulated sugar,NA
4044,1,teaspoon    vanilla,NA
4044,2,large    eggs,NA
4044,2,cups    unbleached flour,NA
4044,1⁄2,teaspoon    salt,NA
4044,2,teaspoons    baking powder,NA
4044,2,cups    quick oats,NA
4044,12,ounces    semi-sweet chocolate chips,NA
123406,1,cup    sugar,NA
123406,1,cup    pumpkin,NA
123406,1⁄2,cup    oil,NA
123406,1,egg,NA
123406,1,teaspoon    vanilla,NA
123406,2,cups    white flour,NA
123406,2,teaspoons    baking powder,NA
123406,1,teaspoon    baking soda,NA
123406,1,teaspoon    cinnamon,NA
123406,1⁄2,teaspoon    salt,NA
123406,1,cup    chocolate chips (I use non-dairy ones such as Dan-D-Pak due to milk allergies),NA
273178,1⁄2,cup    sugar,NA
273178,1⁄2,cup    brown sugar,NA
273178,1⁄2,"cup    margarine, softened",NA
273178,2,eggs,NA
273178,1⁄2,teaspoon    vanilla,NA
273178,1 3⁄4,cups    flour,NA
273178,1⁄2,teaspoon    baking soda,NA
273178,1⁄2,cup    unsweetened cocoa powder,NA
273178,1⁄4,teaspoon    salt,NA
273178,3⁄4,cup    chocolate chips,NA
273178,1⁄2,cup   andes mint chip,NA
16437,2,cups    unsifted flour,NA
16437,1,cup    sugar,NA
16437,1⁄2,teaspoon    baking soda,NA
16437,1⁄4,teaspoon    salt,NA
16437,1⁄2,"cup    corn oil margarine, softened  (1 stick)",NA
16437,1⁄2,cup    Skippy creamy peanut butter (or Trader Joe's Almond Butter) or 1/2  cup    chunky peanut butter (or Trader Joe's Almond Butter),NA
16437,2,eggs,NA
16437,1,tablespoon    water,NA
16437,1,teaspoon    vanilla,NA
16437,6,ounces    semi-sweet chocolate chips (optional),NA
23096,2 1⁄4,cups    flour,NA
23096,1,teaspoon    baking soda,NA
23096,1,teaspoon    salt,NA
23096,1⁄2,"cup    butter, at room temperature  (or hard stick margarine, softened)",NA
23096,1⁄2,cup    shortening,NA
23096,3⁄4,cup    white sugar,NA
23096,3⁄4,cup   lightly packed brown sugar,NA
23096,1,teaspoon    vanilla,NA
23096,2,eggs,NA
23096,1,(12   ounce) package   semi-sweet chocolate chips,NA
485684,3⁄4,cup    butter,NA
485684,1,cup    sugar,NA
485684,2,eggs,NA
485684,1,cup    applesauce,NA
485684,1⁄2,teaspoon    baking powder,NA
485684,1⁄2,teaspoon    baking soda,NA
485684,1⁄2,teaspoon    salt,NA
485684,1,teaspoon    cinnamon,NA
485684,1⁄8,teaspoon    clove,NA
485684,1,teaspoon    vanilla,NA
485684,2 1⁄4,cups    flour,NA
485684,1,cup    chocolate chips,NA
417430,1,cup    sugar,NA
417430,1,cup    brown sugar,NA
417430,1,cup    shortening,NA
417430,2,eggs,NA
417430,2,teaspoons    vanilla,NA
417430,1 1⁄2,cups    flour,NA
417430,1,teaspoon    baking soda,NA
417430,1,teaspoon    salt,NA
417430,3,"cups    oatmeal, quick cooking",NA
417430,2,cups    semi-sweet chocolate chips,NA
405046,2,(16 1/2  ounce) packages   refrigerated chocolate chip cookie dough (I use Pillsbury),NA
405046,2,"(8   ounce) packages   cream cheese, softened",NA
405046,2,eggs,NA
405046,1,cup    granulated sugar,NA
405046,1,tablespoon    vanilla,NA
405046,,"maraschino cherry, drained and halved for garnish",NA
308429,1⁄2,cup    shortening,NA
308429,1⁄2,cup    brown sugar,NA
308429,1⁄2,cup    white sugar,NA
308429,1,beaten egg,NA
308429,2,tablespoons    water,NA
308429,1⁄2,teaspoon    vanilla,NA
308429,3⁄4,cup    flour,NA
308429,1⁄2,teaspoon    baking soda,NA
308429,1⁄2,teaspoon    salt,NA
308429,1 1⁄2,cups    oatmeal,NA
308429,1 1⁄4,cups    chocolate chips,NA
83777,2,cups    butter,NA
83777,2,cups    sugar,NA
83777,2,cups   packed brown sugar,NA
83777,4,large    eggs,NA
83777,2,tablespoons    vanilla,NA
83777,4,cups    flour,NA
83777,5,cups    oatmeal (put in blender and make into flour),NA
83777,1,teaspoon    salt,NA
83777,4,teaspoons    baking powder,NA
83777,4,teaspoons    baking soda,NA
83777,2,(12   ounce) bags   chocolate chips,NA
83777,8,"ounces    Hershey Bars, grated",NA
83777,3,"cups    nuts, any kind of nuts  (optional)",NA
195237,4 1⁄2,cups    all-purpose flour,NA
195237,2,teaspoons    baking soda,NA
195237,2,"cups    butter, softened",NA
195237,1 1⁄2,"cups    brown sugar, packed",NA
195237,1⁄2,cup    white sugar,NA
195237,2,(3 1/2  ounce) packages   vanilla instant pudding mix,NA
195237,4,eggs,NA
195237,2,teaspoons    vanilla extract,NA
195237,4,cups    semi-sweet chocolate chips,NA
195237,2,cups    walnuts (optional),NA
88529,4 1⁄2,cups    flour,NA
88529,2,teaspoons    baking soda,NA
88529,1⁄2,teaspoon    salt (omit if using salted butter),NA
88529,1,cup    unsalted butter,NA
88529,1,cup    butter flavor shortening,NA
88529,1 1⁄2,cups   packed brown sugar,NA
88529,1⁄2,cup    sugar,NA
88529,2,(3 1/2  ounce) packages   instant vanilla pudding,NA
88529,4,eggs,NA
88529,2,teaspoons    vanilla extract,NA
88529,4,cups    semi-sweet chocolate chips (or half milk chocolate chips),NA
88529,1,(10   ounce) package   toffee pieces or 2   cups   chopped nuts,NA
104611,3⁄4,cup    butter flavor shortening,NA
104611,1 1⁄4,cups   firmly packed light brown sugar,NA
104611,2,tablespoons    milk,NA
104611,1,tablespoon    vanilla,NA
104611,1,egg,NA
104611,1 3⁄4,cups    flour,NA
104611,1,teaspoon    salt,NA
104611,3⁄4,teaspoon    baking soda,NA
104611,1 1⁄2,cups    chocolate chips,NA
104611,1,cup   chopped nuts (*) (optional),NA
244829,1,cup    butter,NA
244829,3⁄4,cup   packed brown sugar,NA
244829,1⁄4,cup    sugar,NA
244829,1,(3 1/2  ounce) package   vanilla instant pudding mix,NA
244829,2,eggs,NA
244829,1,teaspoon    vanilla extract,NA
244829,2 1⁄4,"cups    gluten-free flour, mix  (I use Bette Hagaman's Featherlight Flour Mix.)",NA
244829,1⁄2,teaspoon    xanthan gum,NA
244829,1,teaspoon    baking soda,NA
244829,2,cups    semi-sweet chocolate chips,NA
279485,2 1⁄2,cups   blanched almond flour (Bob's red Mill Blanched Almond Flour will NOT work!),NA
279485,1⁄2,teaspoon   celtic sea salt,NA
279485,1⁄2,teaspoon    baking soda,NA
279485,1⁄2,cup    grapeseed oil,NA
279485,1,tablespoon    vanilla extract,NA
279485,1⁄2,cup    agave nectar,NA
279485,1,cup   dagoba chocolate chips,NA
258800,2 1⁄4,cups    all-purpose flour,NA
258800,1,teaspoon    baking soda,NA
258800,1,teaspoon    salt,NA
258800,1,"cup    butter, softened",NA
258800,3⁄4,cup    granulated sugar,NA
258800,3⁄4,cup   packed brown sugar,NA
258800,3,teaspoons    vanilla extract,NA
258800,2,large    eggs,NA
258800,2,cups    semisweet chocolate morsels (12oz Pkg),NA
258800,1,cup   chopped nuts,NA
299238,3⁄4,cup    butter,NA
299238,2⁄3,cup   packed brown sugar,NA
299238,2⁄3,cup    granulated sugar,NA
299238,1,teaspoon    hazelnut extract or 1   teaspoon    almond extract,NA
299238,1⁄2,teaspoon    vanilla extract,NA
299238,2,eggs,NA
299238,2 1⁄2,cups    flour,NA
299238,1,teaspoon    baking soda,NA
299238,1⁄2,teaspoon    salt,NA
299238,1,cup    white chocolate chips,NA
299238,1,cup    dark chocolate chips or 1   cup    semi-sweet chocolate chips,NA
299238,2,"lbs    bacon, cooked and crumbled  (about 2 cups)",NA
299238,1⁄2,"lb    bacon, cooked in whole strips",NA
299238,2,"cups    powdered sugar, for the maple glaze",NA
299238,1,"tablespoon    maple extract, for the maple glaze",NA
299238,1,"teaspoon    vanilla extract, for the maple glaze",NA
299238,1⁄2,"teaspoon    cinnamon, for the maple glaze",NA
271903,3⁄4,cup    butter (It has been suggested that using 1 full cup of butter works best due to cookie dough dryness),NA
271903,2⁄3,cup   packed brown sugar,NA
271903,2⁄3,cup    granulated sugar,NA
271903,1,teaspoon    hazelnut extract,NA
271903,1⁄2,teaspoon    vanilla extract,NA
271903,1,egg (It has been suggested that using 2 eggs works best due to cookie dough dryness),NA
271903,2 1⁄2,cups    flour,NA
271903,1,teaspoon    baking soda,NA
271903,1⁄2,teaspoon    salt,NA
271903,1,cup    white chocolate chips,NA
271903,1,cup    semi-sweet chocolate chips,NA
271903,2,"cups    bacon bits (if preferred, you can separate the dough into two parts and only make half of the dough into bacon c)",NA
271903,2,cups    powdered sugar,NA
271903,1,tablespoon    maple extract,NA
271903,1,teaspoon    vanilla extract,NA
271903,1,teaspoon    cinnamon,NA
404130,1⁄2,cup    butter,NA
404130,1⁄2,cup    granulated sugar,NA
404130,1⁄2,cup    brown sugar,NA
404130,1,egg,NA
404130,1,teaspoon    vanilla,NA
404130,1⁄2,cup   bailey's irish cream,NA
404130,2 1⁄4,cups    cake flour,NA
404130,1⁄2,teaspoon    baking soda,NA
404130,1⁄2,teaspoon    salt,NA
404130,1,(6   ounce) package   semi-sweet chocolate chips,NA
487714,1⁄2,cup    butter,NA
487714,1,cup   packed brown sugar,NA
487714,1,egg,NA
487714,,vanilla (i dump),NA
487714,1,teaspoon    baking soda,NA
487714,1,teaspoon    salt,NA
487714,1 1⁄2,cups    flour,NA
487714,3⁄4,cup    oats,NA
487714,1,cup    chocolate chips,NA
80470,2,cups    all-purpose flour (280 gms),NA
80470,2,tablespoons    all-purpose flour (20 gms),NA
80470,1⁄2,teaspoon    baking powder,NA
80470,1⁄2,teaspoon    salt,NA
80470,3⁄4,"cup    unsalted butter, melted and cooled until warm  (170 gms)",NA
80470,1,"cup    brown sugar (packed, light or dark, 236 gms)",NA
80470,1⁄2,cup    granulated sugar,NA
80470,1,large    egg,NA
80470,1,"large    egg yolk, from a large egg",NA
80470,2,teaspoons    vanilla extract,NA
80470,1 1⁄2,"cups    chocolate chips (semi-sweet, milk chocolate or any combination, 300 gms)",NA
80470,1,"cup    walnuts (114 gms, chopped) (optional)",NA
342585,2,cups    flour,NA
342585,1,cup    sugar,NA
342585,1,teaspoon    cinnamon,NA
342585,1⁄4,teaspoon    nutmeg,NA
342585,1⁄4,teaspoon    ground ginger,NA
342585,1⁄8,teaspoon    ground cloves,NA
342585,1,teaspoon    baking soda,NA
342585,1⁄4,teaspoon    baking powder,NA
342585,1⁄4,teaspoon    salt,NA
342585,2,large    eggs,NA
342585,1,cup    canned pumpkin,NA
342585,1⁄2,cup    butter (slightly melted),NA
342585,1,cup    semi-sweet chocolate chips,NA
208595,2,cups    all-purpose flour,NA
208595,1⁄2,cup    rolled oats (not quick-cooking oats),NA
208595,1,teaspoon    baking soda,NA
208595,1⁄2,teaspoon    salt,NA
208595,8,"tablespoons   cool unsalted butter, cut into small pieces",NA
208595,1⁄4,cup    vegetable shortening,NA
208595,1,cup    sugar,NA
208595,1⁄2,cup   packed light brown sugar,NA
208595,1,"medium   very ripe banana, mashed  (about 1/2 cup)",NA
208595,1,tablespoon    vanilla extract,NA
208595,3,cups    chocolate chips (bittersweet or semisweet),NA
157472,1⁄2,"cup    margarine, softened",NA
157472,1⁄2,cup    applesauce,NA
157472,1⁄2,cup    brown sugar,NA
157472,1⁄2,cup    Splenda granular,NA
157472,2,egg whites,NA
157472,1,"banana, mashed",NA
157472,1,teaspoon    vanilla,NA
157472,1⁄2,teaspoon    salt,NA
157472,2,teaspoons    baking soda,NA
157472,3⁄4,cup    all-purpose flour,NA
157472,1,cup    whole wheat flour,NA
157472,1,cup    mini chocolate chip,NA
157472,3,cups    quick oatmeal,NA
36272,2 1⁄2,cups    flour,NA
36272,2,teaspoons    baking powder,NA
36272,1⁄2,teaspoon    salt,NA
36272,1⁄4,teaspoon    baking soda,NA
36272,1,cup    sugar,NA
36272,1⁄2,cup    butter,NA
36272,2,eggs,NA
36272,1,teaspoon    vanilla extract,NA
36272,1,cup    chocolate chips,NA
36272,1⁄2,cup    walnuts,NA
36272,1,cup   mashed banana,NA
72534,1⁄4,"cup    butter or 1/4  cup    margarine, softened",NA
72534,1⁄2,cup    sugar,NA
72534,1⁄2,cup   packed brown sugar,NA
72534,1,cup   mashed ripe banana (about 2 bananas),NA
72534,1,large    egg white,NA
72534,1,teaspoon    vanilla,NA
72534,2,cups    oats,NA
72534,1,cup    flour,NA
72534,1⁄2,teaspoon    baking soda,NA
72534,1⁄4,teaspoon    salt,NA
72534,1,cup    milk chocolate chips,NA
63523,1⁄2,"cup    butter, softened",NA
63523,1⁄2,cup    unsweetened applesauce or 1/2  cup    prune puree,NA
63523,1,cup    raw sugar (Turbinado),NA
63523,3,"medium   ripe bananas, mashed",NA
63523,2,large    eggs,NA
63523,1,teaspoon    pure vanilla extract,NA
63523,2 1⁄2,cups    unbleached all-purpose flour,NA
63523,1 1⁄2,teaspoons    baking soda,NA
63523,2,cups    quick-cooking oats,NA
63523,1,cup    semi-sweet chocolate chips,NA
381419,1⁄2,cup   mashed ripe banana (about 1 medium),NA
381419,1⁄2,cup   packed brown sugar,NA
381419,1⁄4,"cup    butter, softened",NA
381419,1⁄4,cup    granulated sugar,NA
381419,1,teaspoon    vanilla extract,NA
381419,1,large    egg,NA
381419,5 5⁄8,ounces    all-purpose flour (about 1 1/4 cups),NA
381419,2,cups    old fashioned oats,NA
381419,1,teaspoon    baking soda,NA
